"Diet","Chick","time0","time2","time4","time6","time8","time10","time12","time14","time16","time18","time20","time21","gain"
"1","18",39,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","16",41,45,49,51,57,51,54,NA,NA,NA,NA,NA,NA
"1","15",41,49,56,64,68,68,67,68,NA,NA,NA,NA,NA
"1","13",41,48,53,60,65,67,71,70,71,81,91,96,55
"1","9",42,51,59,68,85,96,90,92,93,100,100,98,56
"1","20",41,47,54,58,65,73,77,89,98,107,115,117,76
"1","10",41,44,52,63,74,81,89,96,101,112,120,124,83
"1","8",42,50,61,71,84,93,110,116,126,134,125,NA,NA
"1","17",42,51,61,72,83,89,98,103,113,123,133,142,100
"1","19",43,48,55,62,65,71,82,88,106,120,144,157,114
"1","4",42,49,56,67,74,87,102,108,136,154,160,157,115
"1","6",41,49,59,74,97,124,141,148,155,160,160,157,116
"1","11",43,51,63,84,112,139,168,177,182,184,181,175,132
"1","3",43,39,55,67,84,99,115,138,163,187,198,202,159
"1","1",42,51,59,64,76,93,106,125,149,171,199,205,163
"1","12",41,49,56,62,72,88,119,135,162,185,195,205,164
"1","2",40,49,58,72,84,103,122,138,162,187,209,215,175
"1","5",41,42,48,60,79,106,141,164,197,199,220,223,182
"1","14",41,49,62,79,101,128,164,192,227,248,259,266,225
"1","7",41,49,57,71,89,112,146,174,218,250,288,305,264
"2","24",42,52,58,74,66,68,70,71,72,72,76,74,32
"2","30",42,48,59,72,85,98,115,122,143,151,157,150,108
"2","22",41,55,64,77,90,95,108,111,131,148,164,167,126
"2","23",43,52,61,73,90,103,127,135,145,163,170,175,132
"2","27",39,46,58,73,87,100,115,123,144,163,185,192,153
"2","28",39,46,58,73,92,114,145,156,184,207,212,233,194
"2","26",42,48,57,74,93,114,136,147,169,205,236,251,209
"2","25",40,49,62,78,102,124,146,164,197,231,259,265,225
"2","29",39,48,59,74,87,106,134,150,187,230,279,309,270
"2","21",40,50,62,86,125,163,217,240,275,307,318,331,291
"3","33",39,50,63,77,96,111,137,144,151,146,156,147,108
"3","37",41,48,56,68,80,83,103,112,135,157,169,178,137
"3","36",39,48,61,76,98,116,145,166,198,227,225,220,181
"3","31",42,53,62,73,85,102,123,138,170,204,235,256,214
"3","39",42,50,61,78,89,109,130,146,170,214,250,272,230
"3","38",41,49,61,74,98,109,128,154,192,232,280,290,249
"3","32",41,49,65,82,107,129,159,179,221,263,291,305,264
"3","40",41,55,66,79,101,120,154,182,215,262,295,321,280
"3","34",41,49,63,85,107,134,164,186,235,294,327,341,300
"3","35",41,53,64,87,123,158,201,238,287,332,361,373,332
"4","44",42,51,65,86,103,118,127,138,145,146,NA,NA,NA
"4","45",41,50,61,78,98,117,135,141,147,174,197,196,155
"4","43",42,55,69,96,131,157,184,188,197,198,199,200,158
"4","41",42,51,66,85,103,124,155,153,175,184,199,204,162
"4","47",41,53,66,79,100,123,148,157,168,185,210,205,164
"4","49",40,53,64,85,108,128,152,166,184,203,233,237,197
"4","46",40,52,62,82,101,120,144,156,173,210,231,238,198
"4","50",41,54,67,84,105,122,155,175,205,234,264,264,223
"4","42",42,49,63,84,103,126,160,174,204,234,269,281,239
"4","48",39,50,62,80,104,125,154,170,222,261,303,322,283
